Age,Gender,Home Region,Program Main Category Code,Program Skill Level,Program Presentation Method,Program Days,Completed Degree,Level of Education,Education Speaciality,Employment Status,Y,During Ramadan
32.0,أنثى,منطقة الرياض,Cybersecurity,متوسط,عن بعد,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
24.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Business and Management,خريج,0,False
27.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
35.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,5,نعم,البكالوريوس,Engineering,موظف,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,5,نعم,البكالوريوس,Business and Management,موظف,1,False
24.0,ذكر,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,لا,البكالوريوس,Engineering,موظف,1,False
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,3,نعم,البكالوريوس,Sciences,غير موظف,0,False
30.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
37.0,ذكر,منطقة الرياض,AI & Robotics,متقدم,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة مكة المكرمة,Infrastructure & Networks,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
35.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف - طالب,1,False
22.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة القصيم,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Business and Management,غير موظف,0,True
28.0,أنثى,منطقة جازان,AI & Robotics,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
35.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
28.0,أنثى,منطقة الرياض,Cybersecurity,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,خريج,1,False
34.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
23.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,متوسط,عن بعد,5,لا,البكالوريوس,Business and Management,غير موظف,1,False
24.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
21.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Art and Design,طالب,1,False
29.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,5,لا,البكالوريوس,Computer Science and IT,غير موظف,0,True
28.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Sciences,موظف,0,False
22.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,ثانوي,Engineering,طالب,1,False
31.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
22.0,أنثى,منطقة عسير,Cloud Fundamentals,متوسط,عن بعد,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,False
35.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Art and Design,غير موظف,0,False
23.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
31.0,ذكر,منطقة مكة المكرمة,AI & Robotics,مبتدئ,حضوري,12,لا,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
29.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
27.0,ذكر,منطقة الرياض,Cybersecurity,متقدم,حضوري,19,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
41.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
32.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
30.0,ذكر,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
34.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
41.0,ذكر,منطقة عسير,AI and ML,متقدم,عن بعد,12,نعم,البكالوريوس,Business and Management,موظف,0,False
23.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
32.0,أنثى,منطقة عسير,AI and ML,متوسط,عن بعد,12,لا,الماجستير,Computer Science and IT,موظف,1,False
26.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
26.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
25.0,ذكر,المنطقة الشرقية,AI and ML,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
22.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,40,نعم,البكالوريوس,Computer Science and IT,خريج,1,False
39.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,Data Science,مبتدئ,حضوري,12,لا,الماجستير,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
33.0,ذكر,منطقة مكة المكرمة,Data Science,متقدم,حضوري,33,نعم,الماجستير,Computer Science and IT,موظف,0,False
22.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Business and Management,طالب,0,True
37.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,الدبلوم,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Sciences,خريج,0,False
46.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,12,لا,البكالوريوس,Computer Science and IT,غير موظف,0,False
21.0,أنثى,منطقة المدينة المنورة,AI and ML,متقدم,عن بعد,12,لا,البكالوريوس,Computer Science and IT,طالب,1,False
25.0,ذكر,منطقة الرياض,Software Engineering,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
20.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,True
41.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,19,نعم,الماجستير,Computer Science and IT,موظف,0,True
23.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
28.0,ذكر,منطقة مكة المكرمة,Data Science,متوسط,حضوري,47,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,12,لا,البكالوريوس,Computer Science and IT,طالب,1,False
23.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,5,نعم,البكالوريوس,other,موظف,1,False
23.0,أنثى,منطقة الرياض,Data Science,متقدم,حضوري,44,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة جازان,Cloud Fundamentals,متقدم,عن بعد,26,نعم,البكالوريوس,Computer Science and IT,غير موظف,1,False
28.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,96,لا,البكالوريوس,Computer Science and IT,موظف,1,False
45.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,نعم,الدبلوم,Computer Science and IT,موظف,0,False
26.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
31.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
28.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
21.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Art and Design,طالب,0,False
20.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
26.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Business and Management,غير موظف,0,True
24.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,44,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,لا,البكالوريوس,Computer Science and IT,خريج,1,False
34.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
22.0,أنثى,المنطقة الشرقية,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
22.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
20.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Business and Management,طالب,0,False
33.0,أنثى,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,الماجستير,other,موظف,0,False
25.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,59,لا,البكالوريوس,Sciences,موظف,0,False
23.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
28.0,ذكر,منطقة مكة المكرمة,Infrastructure & Networks,متوسط,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
38.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
37.0,ذكر,منطقة القصيم,Cybersecurity,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
38.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,الماجستير,Computer Science and IT,موظف,0,False
22.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,19,لا,ثانوي,Computer Science and IT,طالب,0,True
32.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,12,لا,الدبلوم,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,نعم,البكالوريوس,Business and Management,موظف,0,False
31.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Education,موظف,0,False
42.0,ذكر,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
38.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,نعم,الماجستير,Computer Science and IT,موظف,0,False
29.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Education,موظف,1,False
29.0,أنثى,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
31.0,أنثى,منطقة مكة المكرمة,AI & Robotics,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف - طالب,0,False
22.0,ذكر,منطقة الرياض,Data Science,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
24.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,True
23.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
34.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,عن بعد,5,لا,الماجستير,Computer Science and IT,غير موظف,0,False
30.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,59,نعم,الماجستير,Computer Science and IT,موظف,0,False
38.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Education,خريج,0,False
28.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,لا,البكالوريوس,Computer Science and IT,غير موظف,1,True
26.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Business and Management,موظف,1,False
22.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
25.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,متوسط,عن بعد,5,لا,البكالوريوس,Computer Science and IT,خريج,1,False
23.0,أنثى,منطقة الباحة,Cybersecurity,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
36.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,12,نعم,البكالوريوس,Education,غير موظف,0,False
25.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,لا,الدبلوم,Art and Design,غير موظف,1,True
30.0,أنثى,منطقة الرياض,AI and ML,متوسط,عن بعد,5,نعم,الماجستير,Computer Science and IT,موظف,1,True
40.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,عن بعد,5,لا,الدكتوراه,Computer Science and IT,موظف,1,False
23.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
31.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
23.0,أنثى,منطقة حائل,AI and ML,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة مكة المكرمة,AI and ML,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,True
28.0,ذكر,منطقة الرياض,Data Science,متقدم,حضوري,44,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
27.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
23.0,أنثى,منطقة المدينة المنورة,AI and ML,متوسط,عن بعد,5,نعم,البكالوريوس,Business and Management,غير موظف,0,False
23.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,26,نعم,البكالوريوس,Business and Management,خريج,0,False
28.0,أنثى,المنطقة الشرقية,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
21.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,True
25.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,الدبلوم,Business and Management,عمل حر,0,False
29.0,ذكر,منطقة الرياض,Cybersecurity,متوسط,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,ذكر,منطقة مكة المكرمة,Infrastructure & Networks,متوسط,عن بعد,12,لا,البكالوريوس,Computer Science and IT,غير موظف,1,False
29.0,أنثى,منطقة مكة المكرمة,Cloud Fundamentals,مبتدئ,عن بعد,5,لا,البكالوريوس,Computer Science and IT,موظف,1,True
25.0,أنثى,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
42.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Education,غير موظف,1,False
24.0,ذكر,منطقة مكة المكرمة,Cloud Fundamentals,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
22.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,54,نعم,الدبلوم,Computer Science and IT,طالب,0,False
24.0,ذكر,منطقة الرياض,AI and ML,متوسط,حضوري,12,نعم,البكالوريوس,Engineering,خريج,0,False
30.0,أنثى,منطقة الرياض,Quality Assurance,متوسط,حضوري,26,نعم,الماجستير,Computer Science and IT,موظف,0,False
28.0,ذكر,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
24.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
27.0,أنثى,منطقة المدينة المنورة,Cybersecurity,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,True
30.0,أنثى,منطقة حائل,Cybersecurity,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,غير موظف,1,True
23.0,ذكر,منطقة الرياض,AI and ML,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
26.0,أنثى,منطقة الرياض,Frontend Development,مبتدئ,حضوري,5,لا,البكالوريوس,Humanities and Social Sciences,خريج,0,False
23.0,أنثى,منطقة مكة المكرمة,Cloud Fundamentals,مبتدئ,عن بعد,3,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
27.0,ذكر,منطقة الرياض,AI & Robotics,مبتدئ,حضوري,12,لا,البكالوريوس,Engineering,موظف,0,False
21.0,أنثى,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
30.0,أنثى,منطقة مكة المكرمة,Cybersecurity,مبتدئ,عن بعد,19,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
41.0,ذكر,منطقة الرياض,Cloud Fundamentals,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
26.0,أنثى,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة الرياض,Infrastructure & Networks,متوسط,حضوري,12,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
21.0,أنثى,منطقة مكة المكرمة,AI and ML,متقدم,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
40.0,ذكر,منطقة الرياض,Game Development,متوسط,حضوري,5,نعم,الماجستير,Computer Science and IT,موظف - طالب,0,False
24.0,ذكر,منطقة مكة المكرمة,Infrastructure & Networks,مبتدئ,عن بعد,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,Cybersecurity,متقدم,حضوري,5,نعم,البكالوريوس,Computer Science and IT,خريج,0,True
24.0,أنثى,منطقة الرياض,AI and ML,مبتدئ,حضوري,19,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
26.0,ذكر,منطقة الرياض,Cloud Fundamentals,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,True
20.0,أنثى,منطقة القصيم,Cybersecurity,مبتدئ,عن بعد,12,نعم,البكالوريوس,Computer Science and IT,طالب,0,False
35.0,ذكر,منطقة الرياض,Cloud Fundamentals,مبتدئ,حضوري,5,لا,البكالوريوس,Computer Science and IT,موظف,1,False
25.0,أنثى,منطقة الرياض,AI and ML,متوسط,حضوري,26,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
23.0,أنثى,منطقة الرياض,Cybersecurity,مبتدئ,حضوري,12,نعم,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة الرياض,Data Science,متقدم,حضوري,33,لا,البكالوريوس,Computer Science and IT,خريج,0,False
24.0,أنثى,منطقة الرياض,Data Science,متوسط,حضوري,54,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
25.0,أنثى,منطقة الرياض,AI & Robotics,متوسط,حضوري,5,نعم,البكالوريوس,Computer Science and IT,موظف,0,False
30.0,ذكر,منطقة الرياض,Frontend Development,مبتدئ,حضوري,5,نعم,البكالوريوس,Computer Science and IT,غير موظف,0,False
